       value	     chindex	     chlabel	        bini	  binlabel	ERPset
     -46.815	           1	        E104	           1	01_:_30101	
     -25.159	           1	        E104	           2	01_:_30102	
      -3.426	           1	        E104	           3	01_:_30103	
     -23.559	           1	        E104	           4	01_:_30104	
      22.652	           1	        E104	           5	01_:_30105	
      21.309	           1	        E104	           6	01_:_30106	
      50.784	           1	        E104	           7	01_:_30107	
      20.827	           1	        E104	           8	01_:_30108	
      -3.313	           1	        E104	           9	01_:_30109	
      27.317	           1	        E104	          10	01_:_30110	
      -6.530	           1	        E104	          11	01_:_30201	
     -19.433	           1	        E104	          12	01_:_30202	
       0.858	           1	        E104	          13	01_:_30203	
      -7.417	           1	        E104	          14	01_:_30204	
     -38.536	           1	        E104	          15	01_:_30205	
     -25.393	           1	        E104	          16	01_:_30206	
      -7.914	           1	        E104	          17	01_:_30207	
      -1.057	           1	        E104	          18	01_:_30208	
     -16.876	           1	        E104	          19	01_:_30209	
      -0.169	           1	        E104	          20	01_:_30210	
     -12.562	           1	        E104	          21	01_:_30301	
     -17.463	           1	        E104	          22	01_:_30302	
      -3.901	           1	        E104	          23	01_:_30303	
       4.287	           1	        E104	          24	01_:_30304	
       1.186	           1	        E104	          25	01_:_30305	
     -24.092	           1	        E104	          26	01_:_30306	
      34.756	           1	        E104	          27	01_:_30307	
       8.480	           1	        E104	          28	01_:_30308	
      20.559	           1	        E104	          29	01_:_30309	
      23.220	           1	        E104	          30	01_:_30310	
      15.915	           1	        E104	          31	01_:_30401	
      10.665	           1	        E104	          32	01_:_30402	
       0.424	           1	        E104	          33	01_:_30403	
      25.760	           1	        E104	          34	01_:_30404	
      61.168	           1	        E104	          35	01_:_30405	
     -35.197	           1	        E104	          36	01_:_30406	
      33.714	           1	        E104	          37	01_:_30407	
     -29.762	           1	        E104	          38	01_:_30408	
      13.986	           1	        E104	          39	01_:_30409	
      46.565	           1	        E104	          40	01_:_30410	
      14.707	           1	        E104	          41	01_:_30501	
      -0.105	           1	        E104	          42	01_:_30502	
       0.697	           1	        E104	          43	01_:_30503	
     -32.581	           1	        E104	          44	01_:_30504	
      36.600	           1	        E104	          45	01_:_30505	
      47.401	           1	        E104	          46	01_:_30506	
       5.728	           1	        E104	          47	01_:_30507	
      -4.144	           1	        E104	          48	01_:_30508	
      42.027	           1	        E104	          49	01_:_30509	
      34.240	           1	        E104	          50	01_:_30510	
     -16.413	           1	        E104	          51	01_:_60101	
      16.025	           1	        E104	          52	01_:_60102	
       1.270	           1	        E104	          53	01_:_60103	
     -39.601	           1	        E104	          54	01_:_60104	
      -3.656	           1	        E104	          55	01_:_60105	
     -11.561	           1	        E104	          56	01_:_60106	
     -56.551	           1	        E104	          57	01_:_60107	
     -22.889	           1	        E104	          58	01_:_60108	
     -28.377	           1	        E104	          59	01_:_60109	
     -71.585	           1	        E104	          60	01_:_60110	
     -29.081	           1	        E104	          61	01_:_60201	
     -47.704	           1	        E104	          62	01_:_60202	
     -41.654	           1	        E104	          63	01_:_60203	
       2.597	           1	        E104	          64	01_:_60204	
     -24.554	           1	        E104	          65	01_:_60205	
     -23.685	           1	        E104	          66	01_:_60206	
       9.867	           1	        E104	          67	01_:_60207	
     -42.880	           1	        E104	          68	01_:_60208	
      -6.148	           1	        E104	          69	01_:_60209	
       4.774	           1	        E104	          70	01_:_60210	
     -38.184	           1	        E104	          71	01_:_60301	
      11.831	           1	        E104	          72	01_:_60302	
       5.851	           1	        E104	          73	01_:_60303	
      -7.641	           1	        E104	          74	01_:_60304	
      -6.725	           1	        E104	          75	01_:_60305	
     -11.887	           1	        E104	          76	01_:_60306	
       7.172	           1	        E104	          77	01_:_60307	
      17.426	           1	        E104	          78	01_:_60308	
       1.242	           1	        E104	          79	01_:_60309	
     -23.188	           1	        E104	          80	01_:_60310	
      -4.145	           1	        E104	          81	01_:_60401	
      42.323	           1	        E104	          82	01_:_60402	
      -9.665	           1	        E104	          83	01_:_60403	
      15.697	           1	        E104	          84	01_:_60404	
      -9.615	           1	        E104	          85	01_:_60405	
      32.892	           1	        E104	          86	01_:_60406	
      33.309	           1	        E104	          87	01_:_60407	
       0.234	           1	        E104	          88	01_:_60408	
      18.570	           1	        E104	          89	01_:_60409	
      30.453	           1	        E104	          90	01_:_60410	
       9.930	           1	        E104	          91	01_:_60501	
      -4.374	           1	        E104	          92	01_:_60502	
      -3.185	           1	        E104	          93	01_:_60503	
      -5.109	           1	        E104	          94	01_:_60504	
      -0.577	           1	        E104	          95	01_:_60505	
       6.955	           1	        E104	          96	01_:_60506	
      24.870	           1	        E104	          97	01_:_60507	
     -32.501	           1	        E104	          98	01_:_60508	
     -30.873	           1	        E104	          99	01_:_60509	
      19.572	           1	        E104	         100	01_:_60510	
     -16.870	           1	        E104	         101	02_:_30101	
     -22.472	           1	        E104	         102	02_:_30102	
     -39.998	           1	        E104	         103	02_:_30103	
     -16.547	           1	        E104	         104	02_:_30104	
