SUBJECTID,mSens_age
01,lowMSens_youngerAgeGroup
02,lowMSens_youngerAgeGroup
03,higMSens_olderAgeGroup
04,lowMSens_youngerAgeGroup
05,lowMSens_olderAgeGroup
06,lowMSens_olderAgeGroup
07,higMSens_olderAgeGroup
08,higMSens_youngerAgeGroup
09,lowMSens_youngerAgeGroup
10,higMSens_olderAgeGroup
11,higMSens_olderAgeGroup
12,lowMSens_olderAgeGroup
13,higMSens_youngerAgeGroup
14,higMSens_youngerAgeGroup
15,higMSens_youngerAgeGroup
16,higMSens_youngerAgeGroup
17,lowMSens_olderAgeGroup
18,higMSens_olderAgeGroup
19,higMSens_olderAgeGroup
20,lowMSens_olderAgeGroup
21,higMSens_olderAgeGroup
22,lowMSens_youngerAgeGroup
23,lowMSens_olderAgeGroup
24,higMSens_youngerAgeGroup
25,lowMSens_olderAgeGroup
26,lowMSens_olderAgeGroup
27,lowMSens_youngerAgeGroup
28,higMSens_olderAgeGroup
29,higMSens_youngerAgeGroup
30,lowMSens_youngerAgeGroup
31,higMSens_olderAgeGroup
32,lowMSens_youngerAgeGroup
33,higMSens_olderAgeGroup
34,higMSens_youngerAgeGroup
35,lowMSens_youngerAgeGroup
36,lowMSens_olderAgeGroup
37,lowMSens_olderAgeGroup
38,higMSens_youngerAgeGroup
39,lowMSens_youngerAgeGroup
40,higMSens_youngerAgeGroup
41,higMSens_olderAgeGroup
42,lowMSens_olderAgeGroup
43,lowMSens_olderAgeGroup
44,higMSens_youngerAgeGroup
45,lowMSens_youngerAgeGroup
46,lowMSens_youngerAgeGroup
47,higMSens_olderAgeGroup
48,higMSens_youngerAgeGroup
