SUBJECTID,mSens,age,emotion,ACTOR,presentNumber,meanAmpNC
01,lowMSens,youngerAgeGroup,B,1,1,-46.815
01,lowMSens,youngerAgeGroup,B,1,2,-25.159
01,lowMSens,youngerAgeGroup,B,1,3,-3.426
01,lowMSens,youngerAgeGroup,B,1,4,-23.559
01,lowMSens,youngerAgeGroup,B,1,5,22.652
01,lowMSens,youngerAgeGroup,B,1,6,21.309
01,lowMSens,youngerAgeGroup,B,1,7,50.784
01,lowMSens,youngerAgeGroup,B,1,8,20.827
01,lowMSens,youngerAgeGroup,B,1,9,-3.313
01,lowMSens,youngerAgeGroup,B,1,10,27.317
01,lowMSens,youngerAgeGroup,B,2,1,-6.53
01,lowMSens,youngerAgeGroup,B,2,2,-19.433
01,lowMSens,youngerAgeGroup,B,2,3,0.858
01,lowMSens,youngerAgeGroup,B,2,4,-7.417
01,lowMSens,youngerAgeGroup,B,2,5,-38.536
01,lowMSens,youngerAgeGroup,B,2,6,-25.393
01,lowMSens,youngerAgeGroup,B,2,7,-7.914
01,lowMSens,youngerAgeGroup,B,2,8,-1.057
01,lowMSens,youngerAgeGroup,B,2,9,-16.876
01,lowMSens,youngerAgeGroup,B,2,10,-0.169
01,lowMSens,youngerAgeGroup,B,3,1,-12.562
01,lowMSens,youngerAgeGroup,B,3,2,-17.463
01,lowMSens,youngerAgeGroup,B,3,3,-3.901
01,lowMSens,youngerAgeGroup,B,3,4,4.287
01,lowMSens,youngerAgeGroup,B,3,5,1.186
01,lowMSens,youngerAgeGroup,B,3,6,-24.092
01,lowMSens,youngerAgeGroup,B,3,7,34.756
01,lowMSens,youngerAgeGroup,B,3,8,8.48
01,lowMSens,youngerAgeGroup,B,3,9,20.559
01,lowMSens,youngerAgeGroup,B,3,10,23.22
01,lowMSens,youngerAgeGroup,B,4,1,15.915
01,lowMSens,youngerAgeGroup,B,4,2,10.665
01,lowMSens,youngerAgeGroup,B,4,3,0.424
01,lowMSens,youngerAgeGroup,B,4,4,25.76
01,lowMSens,youngerAgeGroup,B,4,5,61.168
01,lowMSens,youngerAgeGroup,B,4,6,-35.197
01,lowMSens,youngerAgeGroup,B,4,7,33.714
01,lowMSens,youngerAgeGroup,B,4,8,-29.762
01,lowMSens,youngerAgeGroup,B,4,9,13.986
01,lowMSens,youngerAgeGroup,B,4,10,46.565
01,lowMSens,youngerAgeGroup,B,5,1,14.707
01,lowMSens,youngerAgeGroup,B,5,2,-0.105
01,lowMSens,youngerAgeGroup,B,5,3,0.697
01,lowMSens,youngerAgeGroup,B,5,4,-32.581
01,lowMSens,youngerAgeGroup,B,5,5,36.6
01,lowMSens,youngerAgeGroup,B,5,6,47.401
01,lowMSens,youngerAgeGroup,B,5,7,5.728
01,lowMSens,youngerAgeGroup,B,5,8,-4.144
01,lowMSens,youngerAgeGroup,B,5,9,42.027
01,lowMSens,youngerAgeGroup,B,5,10,34.24
01,lowMSens,youngerAgeGroup,A,1,1,-16.413
01,lowMSens,youngerAgeGroup,A,1,2,16.025
01,lowMSens,youngerAgeGroup,A,1,3,1.27
01,lowMSens,youngerAgeGroup,A,1,4,-39.601
01,lowMSens,youngerAgeGroup,A,1,5,-3.656
01,lowMSens,youngerAgeGroup,A,1,6,-11.561
01,lowMSens,youngerAgeGroup,A,1,7,-56.551
01,lowMSens,youngerAgeGroup,A,1,8,-22.889
01,lowMSens,youngerAgeGroup,A,1,9,-28.377
01,lowMSens,youngerAgeGroup,A,1,10,-71.585
01,lowMSens,youngerAgeGroup,A,2,1,-29.081
01,lowMSens,youngerAgeGroup,A,2,2,-47.704
01,lowMSens,youngerAgeGroup,A,2,3,-41.654
01,lowMSens,youngerAgeGroup,A,2,4,2.597
01,lowMSens,youngerAgeGroup,A,2,5,-24.554
01,lowMSens,youngerAgeGroup,A,2,6,-23.685
01,lowMSens,youngerAgeGroup,A,2,7,9.867
01,lowMSens,youngerAgeGroup,A,2,8,-42.88
01,lowMSens,youngerAgeGroup,A,2,9,-6.148
01,lowMSens,youngerAgeGroup,A,2,10,4.774
01,lowMSens,youngerAgeGroup,A,3,1,-38.184
01,lowMSens,youngerAgeGroup,A,3,2,11.831
