SUBJECTID,electrode,emotion,ACTOR,presentNumber,meanAmpNC,ECBQ_per
02,C3,ReduAngry,5,1,-4.076,4.4
02,C4,ReduAngry,5,1,-11.031,4.4
02,Cz,ReduAngry,5,1,4.913,4.4
02,C3,ReduAngry,5,2,-12.634,4.4
02,C4,ReduAngry,5,2,-21.187,4.4
02,Cz,ReduAngry,5,2,-4.956,4.4
02,C3,ReduAngry,5,3,-9.477,4.4
02,C4,ReduAngry,5,3,5.559,4.4
02,Cz,ReduAngry,5,3,15.685,4.4
02,C3,ReduAngry,5,5,-13.897,4.4
02,C4,ReduAngry,5,5,-19.812,4.4
02,Cz,ReduAngry,5,5,-16.857,4.4
02,C3,ReduAngry,5,6,11.209,4.4
02,C4,ReduAngry,5,6,3.144,4.4
02,Cz,ReduAngry,5,6,10.703,4.4
02,C3,ReduAngry,5,8,-20.483,4.4
02,C4,ReduAngry,5,8,-24.905,4.4
02,Cz,ReduAngry,5,8,-22.297,4.4
02,C3,ReduAngry,6,1,-12.443,4.4
02,C4,ReduAngry,6,1,-25.957,4.4
02,Cz,ReduAngry,6,1,-20.892,4.4
02,C3,ReduAngry,6,2,-24.063,4.4
02,C4,ReduAngry,6,2,-20.029,4.4
02,Cz,ReduAngry,6,2,-21.607,4.4
02,C3,ReduAngry,6,4,-23.365,4.4
02,C4,ReduAngry,6,4,-18.608,4.4
02,Cz,ReduAngry,6,4,-42.4,4.4
02,C3,ReduAngry,6,6,-24.889,4.4
02,C4,ReduAngry,6,6,-29.777,4.4
02,Cz,ReduAngry,6,6,-22.852,4.4
02,C3,ReduAngry,6,10,1.302,4.4
02,C4,ReduAngry,6,10,4.978,4.4
02,Cz,ReduAngry,6,10,-28.319,4.4
02,C3,ReduAngry,7,2,-16.947,4.4
02,C4,ReduAngry,7,2,-8.173,4.4
02,Cz,ReduAngry,7,2,3.405,4.4
02,C3,ReduAngry,7,3,-18.796,4.4
02,C4,ReduAngry,7,3,-38.389,4.4
02,Cz,ReduAngry,7,3,-13.425,4.4
02,C3,ReduAngry,7,4,-14.881,4.4
02,C4,ReduAngry,7,4,3.108,4.4
02,Cz,ReduAngry,7,4,-32.214,4.4
02,C3,ReduAngry,7,6,11.102,4.4
02,C4,ReduAngry,7,6,-14.605,4.4
02,Cz,ReduAngry,7,6,-19.602,4.4
02,C3,ReduAngry,7,9,-13.829,4.4
02,C4,ReduAngry,7,9,13.363,4.4
02,Cz,ReduAngry,7,9,16.793,4.4
02,C3,ReduAngry,8,3,-12.919,4.4
02,C4,ReduAngry,8,3,-15.447,4.4
02,Cz,ReduAngry,8,3,-20.229,4.4
02,C3,ReduAngry,8,7,-1.54,4.4
02,C4,ReduAngry,8,7,-20.864,4.4
02,Cz,ReduAngry,8,7,5.224,4.4
02,C3,ReduAngry,8,8,13.063,4.4
02,C4,ReduAngry,8,8,7.188,4.4
02,Cz,ReduAngry,8,8,-10.957,4.4
02,C3,ReduAngry,9,1,-21.581,4.4
02,C4,ReduAngry,9,1,-20.055,4.4
02,Cz,ReduAngry,9,1,-12.036,4.4
02,C3,ReduAngry,9,2,1.256,4.4
02,C4,ReduAngry,9,2,10.508,4.4
02,Cz,ReduAngry,9,2,-18.833,4.4
02,C3,ReduAngry,9,7,11.316,4.4
02,C4,ReduAngry,9,7,4.86,4.4
02,Cz,ReduAngry,9,7,1.992,4.4
02,C3,ReduAngry,9,8,-1.25,4.4
02,C4,ReduAngry,9,8,6.954,4.4
02,Cz,ReduAngry,9,8,-7.992,4.4
02,C3,FullAngry,5,1,-4.869,4.4
02,C4,FullAngry,5,1,-29.567,4.4
02,Cz,FullAngry,5,1,-25.782,4.4
02,C3,FullAngry,5,2,-2.267,4.4
02,C4,FullAngry,5,2,-19.972,4.4
02,Cz,FullAngry,5,2,-3.591,4.4
02,C3,FullAngry,5,3,-20.651,4.4
02,C4,FullAngry,5,3,1.101,4.4
02,Cz,FullAngry,5,3,2.045,4.4
02,C3,FullAngry,5,4,-15.028,4.4
02,C4,FullAngry,5,4,1.674,4.4
02,Cz,FullAngry,5,4,-32.102,4.4
02,C3,FullAngry,5,5,2.351,4.4
02,C4,FullAngry,5,5,-8.883,4.4
02,Cz,FullAngry,5,5,-32.741,4.4
02,C3,FullAngry,5,6,-34.386,4.4
02,C4,FullAngry,5,6,-4.455,4.4
02,Cz,FullAngry,5,6,-8.825,4.4
02,C3,FullAngry,5,8,6.012,4.4
02,C4,FullAngry,5,8,-3.486,4.4
02,Cz,FullAngry,5,8,-3.455,4.4
02,C3,FullAngry,5,10,-10.247,4.4
02,C4,FullAngry,5,10,-17.946,4.4
02,Cz,FullAngry,5,10,-15.271,4.4
02,C3,FullAngry,6,1,-47.741,4.4
02,C4,FullAngry,6,1,-34.739,4.4
02,Cz,FullAngry,6,1,-28.29,4.4
02,C3,FullAngry,6,2,-15.754,4.4
02,C4,FullAngry,6,2,7.966,4.4
02,Cz,FullAngry,6,2,-29.57,4.4
02,C3,FullAngry,6,3,-11.18,4.4
02,C4,FullAngry,6,3,-2.028,4.4
02,Cz,FullAngry,6,3,-14.042,4.4
02,C3,FullAngry,6,4,-2.439,4.4
02,C4,FullAngry,6,4,4.289,4.4
02,Cz,FullAngry,6,4,-11.224,4.4
02,C3,FullAngry,6,6,-11.496,4.4
